license_number,license_type,Dba,Premise_address,City,licensee,gov,Community Council
10592,Standard Marijuana Cultivation Facility,ALASKA CANNABIS CULTIVATORS,"3665 Worrell Ave, Unit 1",Fairbanks,BRANDEN M ROYBAL,Fairbanks North Star Borough,
10648,Retail Marijuana Store,UNCLE HERB'S,6511 Arctic Spur Rd.,Anchorage,"Eden Management Group, LLC",Anchorage (Municipality of),Taku Campbell
10650,Limited Marijuana Cultivation Facility,ALASKA BUD BROTHERS AEROGARDENS LLC,22720 Yukon Road,Kasilof,"Alaska Bud Brothers Aerogardens, LLC",Kenai Peninsula Borough,
10657,Standard Marijuana Cultivation Facility,JWS ENTERPRISES,2997 so Gravina island,ketchikan,JAMES W STRASSBURG,Ketchikan Gateway Borough,
10671,Standard Marijuana Cultivation Facility,"ALASKA CANNABIS EXCHANGE, LLC",1805 & 1807 west 47th avenue,anchorage,"Alaska Cannabis Exchange, LLC",Anchorage (Municipality of),Spenard
10747,Standard Marijuana Cultivation Facility,"GREAT NORTHERN CANNABIS, INC.",2341 Cinnabar Loop,Anchorage,"Great Northern Cannabis, Inc.",Anchorage (Municipality of),Abbott Loop
10799,Standard Marijuana Cultivation Facility,CALM N COLLECTIVE,13886 W. Parks Hwy,Houston,Calm N Collective LLC,Houston,
10800,Retail Marijuana Store,THE FIREWEED FACTORY LLC,237 Front Street,Juneau,The Fireweed Factory LLC,Juneau (City and Borough of),
10814,Limited Marijuana Cultivation Facility,SE MOOG DROOG LLC,Lot 13D Jeff Berg Subdivision,Petersburg,SE Moog Droog LLC,Petersburg Borough,
10828,Marijuana Product Manufacturing Facility,GLACIER EXTRACTS,"8639 Toloff Street, Suite 3",Anchorage,"Glacier Extracts, LLC",Anchorage (Municipality of),Abbott Loop
10831,Retail Marijuana Store,HIGH BUSH BUDS,"36312 Irons Ave., Suite 2",Soldotna,"High Bush Buds, Inc.",Kenai Peninsula Borough,
10837,Retail Marijuana Store,HILLSIDE NATURAL WELLNESS,"8639 Toloff St., Suite 1",Anchorage,"Hillside Natural Wellness, LLC",Anchorage (Municipality of),Abbott Loop
10844,Retail Marijuana Store,"GREEN ELEPHANT, LLC","101 Mill St., Suite B",Juneau,"Green Elephant, LLC",Juneau (City and Borough of),
10864,Retail Marijuana Store,AK FUZZY BUDZ,2612 Eagle St,Anchorage,"AKGLD, LLC",Anchorage (Municipality of),Midtown
10865,Marijuana Product Manufacturing Facility,AK RIME,"5200 A Street, Suite 101",Anchorage,"AK Rime, LLC",Anchorage (Municipality of),Taku Campbell
10866,Retail Marijuana Store,AK FROST,"5200 A Street, Suite 102",Anchorage,"AK Frost, LLC",Anchorage (Municipality of),Taku Campbell
10869,Retail Marijuana Store,GRASS STATION 49,1326 Cushman St.,Fairbanks,"The Grass Station, LLC",Fairbanks (City of),
10873,Retail Marijuana Store,THE STONEY MOOSE,127 Stedman St.,Ketchikan,"E & M Holdings, LLC",Ketchikan (City of),
10883,Retail Marijuana Store,RAINFOREST CANNABIS,726 Water Street,Ketchikan,GARY CROY; LORRAINE C KOLANKO; JASON C KOLANKO,Ketchikan (City of),
10886,Marijuana Product Manufacturing Facility,GOOD TITRATIONS,"1770 Donald Ave, Suite B",Fairbanks,"FSE, Inc.",Fairbanks North Star Borough,
10901,Retail Marijuana Store,THE HIGH EXPEDITION COMPANY,13465 E Main St.,Talkeetna,The High Expedition Company,Matanuska-Susitna Borough,Talkeetna
10903,Marijuana Product Manufacturing Facility,MOMO'S BAKERY,2917 Spenard Road Suite 102,anchorage,"JMP, LLC",Anchorage (Municipality of),Spenard
10922,Limited Marijuana Cultivation Facility,SPARKLE FARMS ALASKA,218 Kelly Drive,Ketchikan,SFA LLC,Ketchikan Gateway Borough,
10933,Retail Marijuana Store,ALASKA'S GREEN LIGHT DISTRICT,405 E. Northern Lights Blvd,Anchorage,"AKGLD, LLC",Anchorage (Municipality of),Midtown
10958,Standard Marijuana Cultivation Facility,GREEN LIFE SUPPLY LLC,511 30th ave.,Fairbanks,"Green Life Supply, LLC",Fairbanks (City of),
10959,Standard Marijuana Cultivation Facility,"GREEN GO, LLC.",101 Post Rd,Anchorage,"Green Go, LLC",Anchorage (Municipality of),Mountain View
10975,Retail Marijuana Store,SATORI,221 E. 5th Ave,Anchorage,"Baker Industries, LLC",Anchorage (Municipality of),Downtown
10979,Limited Marijuana Cultivation Facility,GUDLIEF ORGANIZATION,303-C West E. Street,Nome,ROBIN C THOMAS,Nome,
