license_number,license_type,Dba,Premise_address,City,licensee,gov,Community Council
10004,Standard Marijuana Cultivation Facility,TALKEETNA HERB COMPANY,32500 South Talkeetna Spur Road,Talkeetna,KRYSTAL L DIETRICH,Matanuska-Susitna Borough,Talkeetna
10005,Standard Marijuana Cultivation Facility,ROSIE CREEK FARM,2659 Livingston Loop,Fairbanks,"RCFC, LLC",Fairbanks North Star Borough,
10008,Retail Marijuana Store,GREEN JAR,"4901 E Blue Lupine dr, Bldg 2, Unit E",Wasilla,CALEB L SAUNDERS; CHRISTOPHER T FARRIS; BAILEY A STUART,Matanuska-Susitna Borough,Gateway
10009,Marijuana Testing Facility,"CANNTEST, LLC","620 E Whitney Road, Suite B",Anchorage,"CannTest, LLC",Anchorage (Municipality of),Downtown
10011,Limited Marijuana Cultivation Facility,GREEN RUSH GARDENS LLC,38827 Twin Rd.,Sterling,Green Rush Gardens LLC,Kenai Peninsula Borough,
10015,Standard Marijuana Cultivation Facility,"GREATLAND GANJA, LLC",56475 Sterling Highway,Kasilof,"Greatland Ganja, LLC",Kenai Peninsula Borough,
10021,Retail Marijuana Store,"ENLIGHTEN ALASKA, LLC",2600 Spenard Road,Anchorage,"Enlighten Alaska, LLC",Anchorage (Municipality of),Spenard
10022,Standard Marijuana Cultivation Facility,SUNRISE GARDENS,440 Skyridge Drive,Fairbanks,Purple Quail LLC,Fairbanks North Star Borough,
10024,Limited Marijuana Cultivation Facility,ART'S ALASKAN PLANTATION,9444 Blackie Loop,Willow,ARTHUR A CHURCH,Matanuska-Susitna Borough,Willow Area
10025,Standard Marijuana Cultivation Facility,"BUDDING ALASKA, LLC",32273 Old Nash Rd.,Seward,"Budding Alaska, LLC",Kenai Peninsula Borough,
10026,Standard Marijuana Cultivation Facility,"RAINFOREST FARMS, LLC",5763 Glacier Highway,Juneau,"Rainforest Farms, LLC",Juneau (City and Borough of),
10027,Standard Marijuana Cultivation Facility,BLACK RAPIDS LLC,721 Cloud Road,North Pole,Black Rapids LLC,Fairbanks North Star Borough,
10034,Standard Marijuana Cultivation Facility,"ODIN'S WAGON, LLC",29453 Kalifornsky Beach Road,Kasilof,"ODIN'S WAGON, LLC.",Kenai Peninsula Borough,
10035,Standard Marijuana Cultivation Facility,ARCTIC HERBERY,7107 Arctic Blvd,Anchorage,BRYANT D THORP,Anchorage (Municipality of),Taku Campbell
10037,Retail Marijuana Store,ARCTIC HERBERY,7107 Arctic Blvd,Anchorage,BRYANT D THORP,Anchorage (Municipality of),Taku Campbell
10040,Limited Marijuana Cultivation Facility,ALASKA PRECISION,15520 e. birch circle,willow,DAVID J. STRAUB,Matanuska-Susitna Borough,Susitna
10041,Limited Marijuana Cultivation Facility,PEACE FROG BOTANICALS LLC,47459 Lakeside st.,Kenai,Peace Frog Botanicals LLC,Kenai Peninsula Borough,
10043,Standard Marijuana Cultivation Facility,ALASKAN GREENERY,3250 Richardson Highway,Valdez,MICHAEL R LILJEDAHL,Valdez,
10050,Retail Marijuana Store,"RAINFOREST FARMS, LLC",216 2nd Street,Juneau,"Rainforest Farms, LLC",Juneau (City and Borough of),
10052,Standard Marijuana Cultivation Facility,"RED RUN CANNABIS CULTIVATORS, LLC",5455 Kenai Spur Highway,Kenai,"Red Run Cannabis Cultivators, LLC",Kenai (City of),
10056,Retail Marijuana Store,"RED RUN CANNABIS COMPANY, LLC","5455 Kenai Spur Highway, Suite B",Kenai,"Red Run Cannabis Company, LLC",Kenai (City of),
10060,Retail Marijuana Store,THE GREEN SPOT LLC.,2893 S. BIG LAKE RD. SUITE 1,BIG LAKE,THE GREEN SPOT LLC.,Matanuska-Susitna Borough,Big Lake
10061,Standard Marijuana Cultivation Facility,"HIGH TIDE FARMS, LLC",6875 W. Snuffy's Rd,Wasilla,"HIGH TIDE FARMS, LLC.",Matanuska-Susitna Borough,Meadow Lakes
10063,Limited Marijuana Cultivation Facility,BOB'S MORNING BEAR CULTIVATION,21725 evelyn may st,kasilof,BRENNAN J NORDEN,Kenai Peninsula Borough,
10066,Standard Marijuana Cultivation Facility,GREEN LEAF,"4614 Halibut Point Rd, C-2, C-3, C-4",Sitka,"Green Leaf, Inc.",Sitka (City and Borough of),
10067,Retail Marijuana Store,GREEN LEAF,4612 Halibut Point Rd,Sitka,"Green Leaf, Inc.",Sitka (City and Borough of),
10073,Standard Marijuana Cultivation Facility,"ALASKAN BLOOMS, LLC","2448 Arvilla St., Building A & B",Fairbanks,"Alaskan Blooms, LLC",Fairbanks North Star Borough,
10080,Standard Marijuana Cultivation Facility,DREAM GREEN FARMS,2939 Porcupine Dr.,Anchorage,"DGF ENTERPRISES, INC.",Anchorage (Municipality of),Mountain View
10082,Marijuana Product Manufacturing Facility,EINSTEIN LABS,"2939 Porcupine Dr., Suite B",Anchorage,"EINSTEIN ENTERPRISES, INC.",Anchorage (Municipality of),Mountain View
10086,Limited Marijuana Cultivation Facility,"TERRA HOUSE, LLC","48714 Jones Rd., Suite 1",Soldotna,"TERRA HOUSE, LLC",Kenai Peninsula Borough,
10094,Retail Marijuana Store,"ALASKABUDS, LLC",1005 E 5th Ave,Anchorage,"Alaskabuds, LLC",Anchorage (Municipality of),Fairview
10095,Standard Marijuana Cultivation Facility,RAINFOREST CANNABIS CULTIVATION,"4975 Rex Allen Dr, Third Floor",Ketchikan,JASON C KOLANKO,Ketchikan (City of),
10097,Retail Marijuana Store,RASPBERRY ROOTS,"501 Raspberry Rd, Suite 101",Anchorage,"Raspberry Roots, LLC",Anchorage (Municipality of),Taku Campbell
10098,Standard Marijuana Cultivation Facility,RASPBERRY ROOTS,"501 Raspberry Rd, Suite 101 & 102",Anchorage,"Raspberry Roots, LLC",Anchorage (Municipality of),Taku Campbell
10112,Standard Marijuana Cultivation Facility,GREAT ALASKAN BUD COMPANY,1905 Livengood Ave.,Fairbanks,SP&C Enterprises LLC,Fairbanks (City of),
10122,Limited Marijuana Cultivation Facility,"STONEY CREEK GROWERS, LLC",33485 VINEWOOD LN,SEWARD,"Stoney Creek Growers, LLC",Kenai Peninsula Borough,
10126,Retail Marijuana Store,THE HERBAL CACHE,"158 Holmgren Place, Suite 101",Girdwood,"R and S Enterprises, LLC",Anchorage (Municipality of),Girdwood
10131,Retail Marijuana Store,"PAKALOLO SUPPLY COMPANY, INC.",1851 Fox Avenue,Fairbanks,"Pakalolo Supply Company, Inc.",Fairbanks (City of),
10135,Standard Marijuana Cultivation Facility,MUSKY OX,741 Bennett Rd,Fairbanks,"Musky Ox, LLC",Fairbanks North Star Borough,
10136,Standard Marijuana Cultivation Facility,"NORTHERN LIGHTS INDOOR GARDENS, LLC",1321 Sawmill Creek Road Suite O and P,sitka,"Northern Lights Indoor Gardens, LLC",Sitka (City and Borough of),
10137,Standard Marijuana Cultivation Facility,PINE STREET CANNABIS COMPANY,36130 Pine Street,Soldotna,Croy's Enterprises LLC,Kenai Peninsula Borough,
10138,Retail Marijuana Store,"NORTHERN LIGHTS INDOOR GARDENS, LLC",1321 Sawmill Creek Road Suite O and P,Sitka,"Northern Lights Indoor Gardens, LLC",Sitka (City and Borough of),
10141,Limited Marijuana Cultivation Facility,"COYOTE AND TOAD'S GARDEN, LLC",100 Rio Faux Lobo,Skagway,"Coyote and Toad's Garden, LLC",Skagway (Municipality of),
10142,Standard Marijuana Cultivation Facility,FARMER JACK'S LLC,8820 king st st. #5 and #6,anchorage,farmer jack's LLC,Anchorage (Municipality of),Taku Campbell
10147,Limited Marijuana Cultivation Facility,PERMAFROST DISTRIBUTORS,54200 Leonard Dr.,Nikiski,CHASE R GRIFFITH,Kenai Peninsula Borough,
10148,Limited Marijuana Cultivation Facility,TALISMAN FARMS,62250 Crossman Ridge Rd,homer,OMAR J GUCER,Kenai Peninsula Borough,
10149,Retail Marijuana Store,"REMEDY SHOPPE, LLC",371 THIRD AVENUE,Skagway,"Remedy Shoppe, LLC",Skagway (Municipality of),
10156,Standard Marijuana Cultivation Facility,"ELEVATED INNOVATIONS, LLC",405 Ream Lane,Fairbanks,"Elevated Innovations, LLC",Fairbanks North Star Borough,
10161,Standard Marijuana Cultivation Facility,THE FROST FRONTIER,"8535 Dimond D Circle, Unit C",Anchorage,The Frost Frontier LLC,Anchorage (Municipality of),Taku Campbell
10162,Retail Marijuana Store,THE FROST FARMS,8535 Dimond D Circle,Anchorage,"The Frost Farms, LLC",Anchorage (Municipality of),Taku Campbell
10163,Retail Marijuana Store,THE 420,307 N. Nordic Dr.,Petersburg,SUSAN J BURRELL,Petersburg Borough,
10165,Marijuana Product Manufacturing Facility,GOOD LLC,1949 Frank Ave,Fairbanks,Good LLC,Fairbanks North Star Borough,
10166,Standard Marijuana Cultivation Facility,GOOD LLC,1949 Frank Ave,Fairbanks,Good LLC,Fairbanks North Star Borough,
10170,Limited Marijuana Cultivation Facility,GREEN DEGREE,2301 South Knik Goose-Bay Road #1,Wasilla,Coman Farming Corporation,Matanuska-Susitna Borough,Knik-Fairview
10173,Retail Marijuana Store,"HERBAL OUTFITTERS, LLC","165 Fairbanks Drive, Lower Floor",Valdez,"Herbal Outfitters, LLC",Valdez,
10174,Standard Marijuana Cultivation Facility,PARALLEL 64 LLC,2128 N Post Road,Anchorage,Parallel 64 llc,Anchorage (Municipality of),Government Hill
10176,Limited Marijuana Cultivation Facility,ALPHA KILO LLC,12180 nautical ave #1,Seward,Alpha Kilo LLC,Kenai Peninsula Borough,
10186,Marijuana Testing Facility,STEEP HILL ALASKA,"2509 Fairbanks Street, Suite A",Anchorage,"AK GREEN LABS, LLC",Anchorage (Municipality of),Midtown
10189,Limited Marijuana Cultivation Facility,SUBSISTENCE PRODUCTS,440 Bias Dr,Fairbanks,KARL R HOUGH,Fairbanks North Star Borough,
10200,Retail Marijuana Store,HAPPY CANNABIS,225 South Front Street,Wrangell,SARINEE NUAMNUI; KELSEY J MARTINSEN,Wrangell (City and Borough of),
10201,Standard Marijuana Cultivation Facility,HAPPY CANNABIS,225 South Front Street,Wrangell,KELSEY J MARTINSEN; SARINEE NUAMNUI,Wrangell (City and Borough of),
10207,Standard Marijuana Cultivation Facility,"TANANA HERB COMPANY, LLC",3495 Old River Landing,Fairbanks,"Tanana Herb Company, LLC",Fairbanks North Star Borough,
